time,distance_in_cm
2024-03-25 09:49:09.998145,25.27
2024-03-25 09:49:11.750845,25.38
2024-03-25 09:49:13.518526,24.89
2024-03-25 09:49:15.275264,24.93
2024-03-25 09:49:17.110590,24.9
2024-03-25 09:49:19.126818,24.89
2024-03-25 09:49:20.889177,24.85
2024-03-25 09:49:23.676667,24.91
2024-03-25 09:49:25.469657,24.88
2024-03-25 09:49:27.236812,24.84
2024-03-25 09:49:29.085308,24.92
2024-03-25 09:49:30.854494,24.93
2024-03-25 09:49:37.754347,24.9
2024-03-25 09:49:44.540011,24.83
2024-03-25 09:49:46.289695,24.86
2024-03-25 09:49:48.053134,24.88
2024-03-25 09:49:55.157492,24.91
2024-03-25 09:49:56.905660,24.91
2024-03-25 09:49:58.750504,24.87
2024-03-25 09:50:00.478241,24.93
2024-03-25 09:50:02.203208,24.88
2024-03-25 09:50:05.056644,24.88
2024-03-25 09:50:12.341753,24.92
2024-03-25 09:50:14.517068,24.89
2024-03-25 09:50:16.298915,24.94
2024-03-25 09:50:18.136391,24.94
2024-03-25 09:50:19.996490,24.91
2024-03-25 09:50:21.866890,24.84
2024-03-25 09:50:28.732470,24.86
2024-03-25 09:50:30.765807,24.89
2024-03-25 09:50:32.532739,24.96
2024-03-25 09:50:34.286930,24.91
2024-03-25 09:50:36.035464,24.92
2024-03-25 09:50:37.760146,24.91
2024-03-25 09:50:39.485024,24.93
2024-03-25 09:50:41.210510,24.88
2024-03-25 09:50:42.926533,24.84
2024-03-25 09:50:44.645652,24.85
2024-03-25 09:50:46.390055,24.83
2024-03-25 09:50:48.128317,24.94
2024-03-25 09:50:49.948108,24.88
2024-03-25 09:50:51.681068,24.94
2024-03-25 09:50:53.671565,24.85
2024-03-25 09:50:55.402526,24.93
2024-03-25 09:50:57.164863,24.87
2024-03-25 09:50:58.889783,24.85
2024-03-25 09:51:00.630542,24.91
2024-03-25 09:51:02.358040,24.95
2024-03-25 09:51:04.080481,24.88
2024-03-25 09:51:05.795051,24.83
2024-03-25 09:51:07.527579,24.95
2024-03-25 09:51:09.256850,24.86
2024-03-25 09:51:10.984122,24.91
2024-03-25 09:51:12.703983,24.88
2024-03-25 09:51:14.426470,24.91
2024-03-25 09:51:16.157841,24.94
2024-03-25 09:51:17.881304,24.86
2024-03-25 09:51:19.604590,24.93
2024-03-25 09:51:21.340395,24.89
2024-03-25 09:51:23.064402,24.86
2024-03-25 09:51:24.785766,25.29
2024-03-25 09:51:26.513406,24.93
2024-03-25 09:51:28.236281,24.9
2024-03-25 09:51:30.065442,24.9
2024-03-25 09:51:31.789762,24.91
2024-03-25 09:51:33.517938,24.87
2024-03-25 09:51:35.226679,24.93
2024-03-25 09:51:36.951228,24.94
2024-03-25 09:51:38.672248,25.33
2024-03-25 09:51:40.397615,24.97
2024-03-25 09:51:42.124627,24.87
2024-03-25 09:51:43.850955,24.91
2024-03-25 09:51:45.579457,24.92
2024-03-25 09:51:47.296764,24.85
2024-03-25 09:51:49.023801,24.89
2024-03-25 09:51:50.760745,24.88
2024-03-25 09:51:52.844813,24.93
2024-03-25 09:51:55.051043,24.88
2024-03-25 09:51:56.778377,24.86
2024-03-25 09:51:58.498315,24.84
2024-03-25 09:52:00.218209,24.91
2024-03-25 09:52:01.930832,24.92
2024-03-25 09:52:03.648529,25.29
2024-03-25 09:52:05.400841,24.83
2024-03-25 09:52:07.129790,24.86
2024-03-25 09:52:08.850587,24.87
2024-03-25 09:52:10.577419,24.94
2024-03-25 09:52:12.302536,25.39
2024-03-25 09:52:14.026516,24.89
2024-03-25 09:52:15.755726,24.87
2024-03-25 09:52:17.480899,24.9
2024-03-25 09:52:19.200483,24.87
2024-03-25 09:52:20.920708,24.9
2024-03-25 09:52:22.640670,24.95
2024-03-25 09:52:24.369205,24.95
2024-03-25 09:52:26.117323,24.93
2024-03-25 09:52:27.984017,24.82
2024-03-25 09:52:29.742384,24.82
2024-03-25 09:52:31.829005,24.95
2024-03-25 09:52:33.589663,24.92
2024-03-25 09:52:38.440965,25.36
2024-03-25 09:52:45.160299,24.89
2024-03-25 09:52:47.252083,24.9
2024-03-25 09:52:49.129715,24.91
2024-03-25 09:52:51.222861,24.9
2024-03-25 09:52:53.393452,24.9
2024-03-25 09:52:55.858027,24.88
2024-03-25 09:52:57.702869,24.93
2024-03-25 09:52:59.479229,24.93
2024-03-25 09:53:01.247308,24.9
2024-03-25 09:53:03.048352,24.86
2024-03-25 09:53:11.061163,24.91
2024-03-25 09:53:12.910866,24.88
2024-03-25 09:53:14.674085,24.89
2024-03-25 09:53:16.861725,24.93
2024-03-25 09:53:18.622363,25.36
2024-03-25 09:53:20.703221,24.95
2024-03-25 09:53:23.535291,24.89
2024-03-25 09:53:30.733927,24.9
2024-03-25 09:53:32.583108,24.9
2024-03-25 09:53:39.619989,24.89
2024-03-25 09:53:41.478183,24.88
2024-03-25 09:53:43.241555,24.86
2024-03-25 09:53:50.608103,24.82
2024-03-25 09:53:52.848658,25.3
2024-03-25 09:53:56.239075,24.85
2024-03-25 09:53:58.033592,24.95
2024-03-25 09:53:59.870331,25.36
2024-03-25 09:54:02.013428,24.94
2024-03-25 09:54:03.863738,25.39
2024-03-25 09:54:05.720545,25.28
2024-03-25 09:54:07.496914,24.86
2024-03-25 09:54:09.670138,24.92
2024-03-25 09:54:11.431739,24.9
2024-03-25 09:54:13.191287,24.95
2024-03-25 09:54:19.958086,24.88
2024-03-25 09:54:21.735549,24.94
2024-03-25 09:54:23.848939,24.87
2024-03-25 09:54:25.614401,24.85
2024-03-25 09:54:28.429595,24.92
2024-03-25 09:54:30.188147,24.89
2024-03-25 09:54:31.943987,24.93
2024-03-25 09:54:33.708677,24.88
2024-03-25 09:54:35.710037,24.91
2024-03-25 09:54:37.469746,24.95
2024-03-25 09:54:39.215849,24.96
2024-03-25 09:54:41.329601,24.86
2024-03-25 09:54:43.068023,24.82
2024-03-25 09:54:44.793760,24.87
2024-03-25 09:54:46.550557,24.89
2024-03-25 09:54:48.278066,24.98
2024-03-25 09:54:50.001116,24.9
2024-03-25 09:54:51.721276,24.84
2024-03-25 09:54:53.696981,24.93
2024-03-25 09:54:55.403919,24.85
2024-03-25 09:54:57.129618,24.9
2024-03-25 09:54:58.852499,25.35
2024-03-25 09:55:00.575851,25.38
2024-03-25 09:55:02.280184,24.86
2024-03-25 09:55:04.002223,24.93
2024-03-25 09:55:05.741062,25.31
2024-03-25 09:55:07.467027,24.83
2024-03-25 09:55:09.198293,24.97
2024-03-25 09:55:10.932962,24.86
2024-03-25 09:55:13.064177,24.9
2024-03-25 09:55:14.806669,25.34
2024-03-25 09:55:16.861205,24.93
2024-03-25 09:55:18.625125,24.97
2024-03-25 09:55:20.671554,24.92
2024-03-25 09:55:22.424770,25.37
2024-03-25 09:55:24.155650,24.84
2024-03-25 09:55:26.189035,25.29
2024-03-25 09:55:27.920376,24.91
2024-03-25 09:55:29.648780,24.97
2024-03-25 09:55:36.689995,21.66
2024-03-25 09:55:38.544085,22.97
2024-03-25 09:55:40.281240,23.02
2024-03-25 09:55:42.033326,23.0
2024-03-25 09:55:43.847812,23.03
2024-03-25 09:55:46.699157,23.08
2024-03-25 09:55:48.429027,23.06
2024-03-25 09:55:50.167626,23.02
2024-03-25 09:55:51.917471,23.09
2024-03-25 09:55:54.480498,23.03
2024-03-25 09:55:56.247342,23.06
2024-03-25 09:55:57.961273,23.03
2024-03-25 09:55:59.721398,23.1
2024-03-25 09:56:01.469284,23.11
2024-03-25 09:56:03.216829,23.01
2024-03-25 09:56:04.958762,22.99
2024-03-25 09:56:07.057927,23.04
2024-03-25 09:56:08.797254,23.09
2024-03-25 09:56:10.641985,23.04
